talk_id,title,speaker,recorded_date,published_date,event,duration,views,likes
82557.0,A close-to-home solution for accessible childcare,Chris Bennett,2021-08-01,2021-10-21,TEDMonterey,532.0,1797758.0,53000.0
82791.0,"Why is this 2,500 year old shipwreck so well-preserved?",Helen Farr and Jon Adams,2021-10-21,2021-10-21,TED-Ed,268.0,436213.0,13000.0
81896.0,How your nature photos can help protect wild animals,Tanya Berger-Wolf,2016-03-12,2021-10-21,TEDxOhioStateUniversity,555.0,1573941.0,47000.0
82559.0,3 tips for leaders to get the future of work right ,Debbie Lovich,2021-09-29,2021-10-22,TED@BCG,724.0,1891765.0,56000.0
81728.0,How to reduce bias in your workplace,Kim Scott and Trier Bryant,2021-10-25,2021-10-25,The Way We Work,348.0,1606874.0,48000.0
82732.0,Visions for the future,Kai-Fu Lee and Chen Qiufan,2021-09-07,2021-10-25,TED Membership,1717.0,1405031.0,42000.0
82964.0,What to expect from COP26,Countdown Summit,2021-10-12,2021-10-25,Countdown Summit,1156.0,50887.0,1500.0
83053.0,"""The [Uncertain] Four Seasons""",AKQA and Jung von Matt,2021-10-12,2021-10-26,Countdown Summit,259.0,18854.0,565.0
82956.0,Can China achieve its ambitious climate pledges?,Hongqiao Liu,2021-10-13,2021-10-26,Countdown Summit,547.0,1681231.0,50000.0
82909.0,The surprisingly long history of electric cars,Daniel Sperling and Gil Tal,2021-10-26,2021-10-26,TED-Ed,302.0,426429.0,12000.0
82001.0,Do 9 out of 10 dentists really recommend that toothpaste?,Mona Chalabi,2021-10-26,2021-10-26,Am I Normal? with Mona Chalabi,161.0,234122.0,7000.0
82558.0,Stuck in the gig economy? Try platform co-ops instead,Trebor Scholz,2021-08-01,2021-10-27,TEDMonterey,765.0,1763095.0,52000.0
83110.0,The fastest way to slow climate change now,Ilissa Ocko,2021-10-12,2021-10-28,Countdown Summit,597.0,2081722.0,62000.0
82797.0,AI isn't as smart as you think -- but it could be,Jeff Dean,2021-08-01,2021-10-28,TEDMonterey,1101.0,1845511.0,55000.0
82920.0,"The Norse myth that inspired ""The Lord of the Rings""",Iseult Gillespie,2021-10-28,2021-10-28,TED-Ed,308.0,1922300.0,57000.0
82218.0,How to turn around a city,Irma L. Olguin Jr.,2021-08-01,2021-10-28,TEDMonterey,779.0,1610597.0,48000.0
83031.0,A new perspective on the journey to net-zero,Amina J. Mohammed,2021-10-12,2021-10-29,Countdown Summit,470.0,1809145.0,54000.0
83111.0,The haunting truth of ghost stories,Coya Paz Brownrigg,2021-05-21,2021-10-29,TEDxDePaulUniversity,702.0,1612666.0,48000.0
83266.0,Countdown Global Livestream 2021,TED,2021-10-30,2021-10-30,Countdown,9915.0,6158998.0,184000.0
83259.0,The 55 gigaton challenge,Countdown,2021-10-30,2021-10-30,Countdown Global Livestream,347.0,384991.0,11000.0
83262.0,What is COP26?,Countdown,2021-10-30,2021-10-30,Countdown Global Livestream,181.0,353656.0,10000.0
81732.0,3 rules to help you build a successful business,Julissa Prado,2021-11-08,2021-11-01,The Way We Work,271.0,2055208.0,61000.0
83223.0,How to make radical climate action the new normal,Al Gore,2021-10-12,2021-11-02,Countdown Summit,941.0,2432912.0,72000.0
82792.0,"How to get better at video games, according to babies",Brian Christian,2021-11-02,2021-11-02,TED-Ed,293.0,532279.0,15000.0
82002.0,What we miss when we focus on the average,Mona Chalabi,2021-11-02,2021-11-02,Am I Normal? with Mona Chalabi,191.0,506339.0,15000.0
81786.0,"How daylight saving time affects our bodies, minds -- and world",Matt Walker,2021-11-03,2021-11-03,Sleeping with Science,90.0,451586.0,13000.0
83493.0,How mindful home design fosters social connection,Tasoulla Hadjiyanni,2021-09-25,2021-11-03,TEDxMinneapolis,837.0,34104.0,1000.0
83026.0,The problem of vaccine spoilage -- and a smart sensor to help,Nithya Ramanathan,2021-08-01,2021-11-03,TEDMonterey,343.0,1915409.0,57000.0
83364.0,Are locust plagues unstoppable?,Jeffrey A. Lockwood,2021-11-04,2021-11-04,TED-Ed,326.0,520773.0,15000.0
